"Date","Aevo","ApeX","Avantis","Bluefin","Drift Protocol","dYdX v3","dYdX v4","GMX","Holdstation","Hyperliquid","Jupiter","KTX Finance","Level Finance","Mux Protocol","Perpetual Protocol","RabbitX","Synthetix","Vertex Protocol"
"17-Mar-25","5379324.184650789","316433893.070475","8770870.08963576","110384487.01773998","92873033.544621","167537245.8346","167537245.8346","64702876.41994942","51757100.26","3724551748.3123527","160992006.901265","174925.51196731208","6847.475485876223","381690.83297270065","66037.5738893577","48291632.12498","4888194.531477071","34007048.97824605"
"18-Mar-25","4797360.941529073","340344376.442715","7449246.423630521","86035593.77903","106661253.568355","150542648.679474","150542648.679474","124141114.15742761","63650514.66","4923537604.501446","205955974.34281","671291.9604390982","","1591871.5024750978","94211.53759842059","41530087.316333","6810705.249323815","31358980.227054954"
"19-Mar-25","7011941.99563123","371594954.90674496","8436954.66967712","57527299.11133","171832531.251662","267008049.81136","267008049.81136","161626896.77321056","61064640.19","5936470683.989237","414190541.771584","1187813.8696681678","950.8808109516606","312325.1776721509","55943.62237124024","55256780.952541","7570024.732929667","40403772.987424396"
"20-Mar-25","5124204.033053112","339261762.73871","8524053.127523769","51985765.629039995","96036695.11341706","136579155.995313","136579155.995313","141320422.15807042","91642476.59","4798349094.547943","240507135.181761","1634783.2013732186","113863.5200851078","433023.960985588","40574.92093783497","45092671.033172","5957724.67114135","27606890.248623557"
"21-Mar-25","4698388.183079004","319220830.190225","8744744.113084236","87621498.97108","55684653.870202005","112602064.754922","112602064.754922","73828074.1656152","74834041.6","3535282613.280393","235404562.924376","1850965.9750640586","129291.12860740261","221247.31378307298","38194.39114314174","42275211.65456","3240144.526232009","17920265.62782654"
"22-Mar-25","2885637.90272587","329744472.35676503","3988726.720130791","41717950.15944","38668990.106130004","47248734.255989","47248734.255989","51067933.166320205","47213877.12","2045427812.0682006","71559312.618989","3435999.9941431284","","145611.0193296416","20386.59322068079","37424242.185246","1040008.022920953","10511164.847423142"
"23-Mar-25","3856161.9389856346","376411643.51859","2663054.599179959","43501813.25326","37598110.38086699","70860912.8192","70860912.8192","59754093.17652263","87988348.02","2462791312.632701","139802385.064117","5820420.100495837","","209776.269879124","18672.06524060678","57524027.742954","3326706.301369405","10512884.580798138"
"24-Mar-25","7758285.175257853","339045711.37154996","14113064.84578435","74406987.21467","123727708.01600006","145404561.800361","145404561.800361","150138512.70031902","47899305.2","5105825634.5464525","402933547.565631","6180659.1793186385","73740.75499581447","629290.4679494163","43923.16695828219","93162442.874808","6948108.249647256","31725591.553370226"
"25-Mar-25","11492237.709728446","361178225.0712","15045764.472992","76780709.28266001","116739943.95897295","126688362.8092","126688362.8092","124232043.67026214","49822343.15","3932030198.711732","253842954.748202","7818870.589423146","3009.540620881587","457157.2825056708","27922.08915165173","114812628.639145","6104535.480484801","31917336.387427207"
"26-Mar-25","8961170.592584163","378397622.90585","15411864.56982895","95847357.38356","143636272.30721802","126619689.3028","126619689.3028","132471704.28527161","35402688.88","4546459279.561303","284144383.764205","102938.13501675308","372.4137931034483","391206.156079796","30650.6822641885","122034615.338511","7153106.939350057","26719160.62459065"
"27-Mar-25","6179615.587975557","402176171.60384","5470208.211234963","99047891.27938","69661043.36730798","118907343.449824","118907343.449824","81452604.07365948","39813477.12","2968017787.671562","193532207.791032","102938.13501675308","50474.64452407403","339454.7073278967","23166.77124603784","115854414.166188","2927681.723756449","24380300.053215466"
"28-Mar-25","8309895.430056432","442439577.424995","11694328.36857134","122013775.18885","139848915.75574398","173122996.55811998","173122996.55811998","146235802.08197072","28508927.22","4696027441.767789","402264848.059022","0","42523.377217229085","355650.43277400045","80481.49943388005","112365306.893944","5078839.886318722","43122640.42043652"
"29-Mar-25","3751660.9797615246","428744194.126535","55515421.10274724","112712430.27650999","70940805.377159","101365814.650602","101365814.650602","155472569.56359163","47846718.65","3300437272.5785565","253582821.968955","191.36645513888797","54725.85704130165","3224174.628945314","80583.89806950738","100017694.271467","3526388.531705626","23290136.35196831"
"30-Mar-25","4142626.678919866","432345170.71047","19292139.45939358","121377709.98975998","69363184.27433498","89548157.633251","89548157.633251","86918300.3940323","32581603.99","2774062341.433435","218073787.744116","23.682870605570784","29554.552993044923","191723.1712419777","78583.05083941155","100619291.691431","2960105.785483957","22532343.595697083"
"31-Mar-25","4882187.397471975","356086205.127945","34626030.01538093","118170311.92142","93224776.37768","183959466.818434","183959466.818434","180370471.3554343","31439419.78","5786815779.41901","256309233.5783","26.302958","15909.895854478355","1183333.7679179832","111771.3735720156","127507670.239115","9331517.251252834","37248904.74758026"
"01-Apr-25","4527416.150393678","358218742.54598","57317776.36774057","64934749.69349","93485163.864742","167573034.67471498","167573034.67471498","176716972.713163","29992151.98","5024540120.028456","285973050.478128","0","17582.712152270982","1295477.6195446164","74005.27290724804","151065157.729496","22195073.15381847","46505048.150513634"
"02-Apr-25","8651217.237991678","402233721.72199005","495790739.474354","105688622.72317001","166867972.2625349","","304893199.9048","276481702.7220772","20266356.57","8109376458.284447","465891380.440109","0","65983.36969294996","580426.8530075068","169219.1984617828","249474836.19922602","26249089.47797508","72512038.04520588"
"03-Apr-25","7138477.674219543","331655450.496065","14805619.95236808","108694989.58441","136130882.84497195","","219555738.55178002","285104435.66989774","19845447.03","5930229209.413552","331367387.268529","33.433368159393005","270340.25851101807","19861633.319432538","136307.5614568384","177345531.894544","9881597.853818282","42478437.29559206"
